ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight,Length,Width,Height,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Images,Limit purchase to 1 item per order
44,simple,penitenciariaA-44,Escova Dental Sorriso,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,2.9,"Higiene > Escova Dental","mock/images/escova_sorriso.png",1
45,simple,penitenciariaA-45,Creme de Barbear Bozzano,1,0,visible,"","","taxable","",1,100,,0,1,0.100,,,,1,"",,5.9,"Higiene > Barbear","mock/images/creme_barbear_bozzano.png",1
46,simple,penitenciariaA-46,Lâmina de Barbear Gillette,1,0,visible,"","","taxable","",1,100,,0,1,0.030,,,,1,"",,2.5,"Higiene > Barbear","mock/images/lamina_barbear_gillette.png",1
47,simple,penitenciariaA-47,Lâmina de Barbear Prestobarba,1,0,visible,"","","taxable","",1,100,,0,1,0.030,,,,1,"",,2.9,"Higiene > Barbear","mock/images/lamina_barbear_prestobarba.png",1
48,simple,penitenciariaA-48,Shampoo Clear Men,1,0,visible,"","","taxable","",1,100,,0,1,0.200,,,,1,"",,9.5,"Higiene > Cabelo","mock/images/shampoo_clear.png",1
49,simple,penitenciariaA-49,Shampoo Seda,1,0,visible,"","","taxable","",1,100,,0,1,0.200,,,,1,"",,7.8,"Higiene > Cabelo","mock/images/shampoo_seda.png",1
50,simple,penitenciariaA-50,Shampoo Pantene,1,0,visible,"","","taxable","",1,100,,0,1,0.200,,,,1,"",,10.2,"Higiene > Cabelo","mock/images/shampoo_pantene.png",1
51,simple,penitenciariaA-51,Condicionador Seda,1,0,visible,"","","taxable","",1,100,,0,1,0.200,,,,1,"",,7.8,"Higiene > Cabelo","mock/images/condicionador_seda.png",1
52,simple,penitenciariaA-52,Condicionador Pantene,1,0,visible,"","","taxable","",1,100,,0,1,0.200,,,,1,"",,10.2,"Higiene > Cabelo","mock/images/condicionador_pantene.png",1
53,simple,penitenciariaA-53,Pente de Plástico,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,1.9,"Higiene > Cabelo","mock/images/pente_plastico.png",1
54,simple,penitenciariaA-54,Absorvente Sempre Livre,1,0,visible,"","","taxable","",1,100,,0,1,0.180,,,,1,"",,6.9,"Higiene > Absorvente","mock/images/absorvente_sempre_livre.png",1
55,simple,penitenciariaA-55,Absorvente Intimus,1,0,visible,"","","taxable","",1,100,,0,1,0.180,,,,1,"",,7.5,"Higiene > Absorvente","mock/images/absorvente_intimus.png",1
56,simple,penitenciariaA-56,Fio Dental Colgate,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,4.5,"Higiene > Fio Dental","mock/images/fio_dental_colgate.png",1
57,simple,penitenciariaA-57,Fio Dental Oral-B,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,4.9,"Higiene > Fio Dental","mock/images/fio_dental_oralb.png",1
58,simple,penitenciariaA-58,Enxaguante Bucal Listerine,1,0,visible,"","","taxable","",1,100,,0,1,0.250,,,,1,"",,10.9,"Higiene > Enxaguante","mock/images/listerine.png",1
59,simple,penitenciariaA-59,Enxaguante Bucal Colgate Plax,1,0,visible,"","","taxable","",1,100,,0,1,0.250,,,,1,"",,11.2,"Higiene > Enxaguante","mock/images/colgate_plax.png",1
60,simple,penitenciariaA-60,Creme para Pele Nívea,1,0,visible,"","","taxable","",1,100,,0,1,0.100,,,,1,"",,8.5,"Higiene > Cuidados com a Pele","mock/images/creme_nivea.png",1
